"no terminals in your city","brak terminali w Twoim mieście"
"Map","Mapa"
"Show terminals in other cities","Pokaż terminale w innych miastach"
"Mobile e.g. 523045856","Przykladowy telefon kom. 523045856"
"Select Machine..","Wybierz maszyne.."
"Phone validation error","Błędna walidacja telefonu"
"Edit parcel","Edycja paczki"
"Parcel update","Aktualizacja paczki"
"Parcel detail","Szczegóły paczki"
"Parcel box machine","Parcel box machine"
"Parcel description","Opis paczki"
"Parcel size","Rozmiar paczki"
"Parcel status","Status"
"Order ID","ID Zamówienia"
"Parcel ID","ID Paczki"
"Status","Status"
"Machine ID","ID Maszyny"
"Sticker creation date","Data utworzenia etykiety"
"Creation date","Data utworzenia"
"Action","Akcje"
"Edit","Edycja"
"Parcel stickers in pdf format","Etykieta paczki w formacie pdf"
"Parcel refresh status","Odświerzenie statusu paczki"
"Cancel","Anuluj"
"Are you sure?","Czy jesteś pewny?"
"Parcels","Paczki"
"%s sticker(s) cannot be generated","%s etykiety nie mogły zostać wygenerowane"
"The sticker(s) cannot be generated","Etykieta nie mogła zostać wygenerowana"
"%s sticker(s) have been generated.","%s etykiety zostały wygenerowane."
"Parcel ID is empty","ID paczki jest puste"
"%s parcel status cannot be refresh","%s statusy paczkek nie mogą zostać odświerzone"
"The parcel status cannot be refresh","Status paczki nie może zostać odświerzony"
"%s parcel cannot be cancel","%s paczek nie może być anulowanych"
"The parcel cannot be cancel","Paczka nie może zostać anulowana"
"%s parcel have been cancel.","%s Paczka została anulowana."
"Item does not exist","Pozycja nie istnieje"
"Item was successfully saved","Pozycja została pomyślnie zapisana"
"Order number:","Numer zamówienia:"
"Cannot create parcel.","Nie można utworzyć paczki."
"A","A"
"B","B"
"C","C"
"Cod amount","Kwota pobrania"
"Description","Opis"
"Insurance amount","Kwota ubezpieczenia"
"Receiver phone","Telefon odbiorcy"
"Receiver email","Email odbiorcy"
"Parcel size","Rozmiar paczki"
"Source machine","Maszyna nadawcza"
"Tmp id","Tmp id"
"Target machine","Maszyna odbiorcza"
"Select insurance","Wybierz ubezpieczenie"

"API_URL","http://api-pl.easypack24.net/"
"InPost Parcel Lockers 24/7 ver.","InPost Paczkomaty 24/7 ver."
"InPost Parcel Lockers 24/7","InPost Paczkomaty 24/7"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Metoda wysyłki obecnie nieaktywna. Jeśli chcesz wysyłać przy użyciu tego sposobu wysyłki, prosimy o kontakt."
"Title","Tytuł"
"Method Name","Nazwa metody"
"Api url","Api url"
"Api key","Api token"
"Description","Opis"
"Description shown to customer","Opis dla klienta"
"Price","Kwota"
"Max weight","Maksymalna waga"
"Max weight is 25","Maksymalna waga to 25 "
"Max dimension - size A","Maksymalny rozmiar - rozmiar M"
"Size A","Rozmiar S"
"Max dimension - size B","Maksymalny rozmiar - rozmiar S"
"Size B","Rozmiar M"
"Max dimension - size C","Maksymalny rozmiar - rozmiar D"
"Size C","Rozmiar L"
"Displayed Error Message","Wyświetlony komunikat o błędzie"
"Ship to Applicable Countries","Wysyłka do objętych krajów"
"Ship to Specific Countries","Wysyłka do poszczególnych krajów"
"Shop Cities","Lista miast"
"Inpostparcels Settings","Ustawienia paczkomatów"
"Create parcel","Utwórz paczkę"

